profile,method,objective,family_size,alpha,minimum,median,maximum
resource_constrained,hoeffding,mean_loss,276048,0.05,106.3153705,106.3153705,106.3153705
resource_constrained,empirical_bernstein,mean_loss,276048,0.05,72.56288509,98.97057918,110.8270345
resource_constrained,paired_t_approx,mean_loss,276048,0.05,0.1663829416,24.00730841,34.27814804
resource_constrained,betting,mean_loss,276048,0.05,39.54450733,44.52826314,50.78226868
resource_constrained,hoeffding,outage_k4_minus_k1,276048,0.05,0.2786042203,0.2786042203,0.2786042203
resource_constrained,empirical_bernstein,outage_k4_minus_k1,276048,0.05,0.1896749649,0.2854997277,0.3353878656
resource_constrained,paired_t_approx,outage_k4_minus_k1,276048,0.05,8.329048242e-10,0.0864373591,0.2786042203
resource_constrained,betting,outage_k4_minus_k1,276048,0.05,0.1036275569,0.1297445383,0.1598165194
resource_constrained,hoeffding,nonrecovery,276048,0.05,0.2786042203,0.2786042203,0.2786042203
resource_constrained,empirical_bernstein,nonrecovery,276048,0.05,0.1896749649,0.3286052685,0.3665698395
resource_constrained,paired_t_approx,nonrecovery,276048,0.05,8.329048242e-10,0.125416523,0.2786042203
resource_constrained,betting,nonrecovery,276048,0.05,0.1036275569,0.1544743963,0.1913026028
intermediate_capacity,hoeffding,mean_loss,276048,0.05,106.3153705,106.3153705,106.3153705
intermediate_capacity,empirical_bernstein,mean_loss,276048,0.05,72.81060992,93.7081035,102.4617796
intermediate_capacity,paired_t_approx,mean_loss,276048,0.05,0.4027689005,19.31888459,26.89656316
intermediate_capacity,betting,mean_loss,276048,0.05,39.54554267,42.72541466,45.9335182
intermediate_capacity,hoeffding,outage_k4_minus_k1,276048,0.05,0.2786042203,0.2786042203,0.2786042203
intermediate_capacity,empirical_bernstein,outage_k4_minus_k1,276048,0.05,0.2471898782,0.3313689298,0.3595504813
intermediate_capacity,paired_t_approx,outage_k4_minus_k1,276048,0.05,0.05246152049,0.1279396786,0.1549387869
intermediate_capacity,betting,outage_k4_minus_k1,276048,0.05,0.1156154019,0.1580220051,0.1901119515
intermediate_capacity,hoeffding,nonrecovery,276048,0.05,0.2786042203,0.2786042203,0.2786042203
intermediate_capacity,empirical_bernstein,nonrecovery,276048,0.05,0.1896749649,0.2273311691,0.2631675766
intermediate_capacity,paired_t_approx,nonrecovery,276048,0.05,9.048983523e-10,0.03445889961,0.06725543009
intermediate_capacity,betting,nonrecovery,276048,0.05,0.1036275569,0.1077673506,0.1213318867
high_capacity,hoeffding,mean_loss,276048,0.05,106.3153705,106.3153705,106.3153705
high_capacity,empirical_bernstein,mean_loss,276048,0.05,72.40274709,73.58149446,74.30603211
high_capacity,paired_t_approx,mean_loss,276048,0.05,0.02221794096,1.113786539,1.740630293
high_capacity,betting,mean_loss,276048,0.05,39.54427958,39.55434942,39.57055446
high_capacity,hoeffding,outage_k4_minus_k1,276048,0.05,0.2786042203,0.2786042203,0.2786042203
high_capacity,empirical_bernstein,outage_k4_minus_k1,276048,0.05,0.2878605007,0.2955032657,0.3081855287
high_capacity,paired_t_approx,outage_k4_minus_k1,276048,0.05,0.0893402819,0.09643761613,0.1071305447
high_capacity,betting,outage_k4_minus_k1,276048,0.05,0.1357586917,0.1398084797,0.1455641603
high_capacity,hoeffding,nonrecovery,276048,0.05,0.2786042203,0.2786042203,0.2786042203
high_capacity,empirical_bernstein,nonrecovery,276048,0.05,0.1896749649,0.2097850151,0.2097850151
high_capacity,paired_t_approx,nonrecovery,276048,0.05,0.01878235254,0.01878235254,0.2786042203
high_capacity,betting,nonrecovery,276048,0.05,0.1036275569,0.1044657669,0.105147737
